Geography Name,Geography Type,Year,Hour of Day,Avg_Demand_kW
Albemarle County,county,2025,0,3.30
Albemarle County,county,2025,1,2.80
Albemarle County,county,2025,2,2.40
Albemarle County,county,2025,3,2.00
Albemarle County,county,2025,4,1.80
Albemarle County,county,2025,5,1.60
Albemarle County,county,2025,6,1.40
Albemarle County,county,2025,7,1.10
Albemarle County,county,2025,8,0.90
Albemarle County,county,2025,9,0.90
Albemarle County,county,2025,10,0.90
Albemarle County,county,2025,11,1.10
Albemarle County,county,2025,12,1.20
Albemarle County,county,2025,13,1.40
Albemarle County,county,2025,14,1.60
Albemarle County,county,2025,15,1.80
Albemarle County,county,2025,16,2.30
Albemarle County,county,2025,17,3.10
Albemarle County,county,2025,18,3.50
Albemarle County,county,2025,19,3.90
Albemarle County,county,2025,20,4.10
Albemarle County,county,2025,21,4.10
Albemarle County,county,2025,22,4.00
Albemarle County,county,2025,23,3.80
Charlottesville City,county,2025,0,12.50
Charlottesville City,city,2025,1,10.90
Charlottesville City,city,2025,2,9.50
Charlottesville City,city,2025,3,8.60
Charlottesville City,city,2025,4,7.70
Charlottesville City,city,2025,5,7.00
Charlottesville City,city,2025,6,6.20
Charlottesville City,city,2025,7,5.00
Charlottesville City,city,2025,8,4.20
Charlottesville City,city,2025,9,4.00
Charlottesville City,city,2025,10,4.30
Charlottesville City,city,2025,11,5.00
Charlottesville City,city,2025,12,5.70
Charlottesville City,city,2025,13,6.40
Charlottesville City,city,2025,14,7.20
Charlottesville City,city,2025,15,8.40
Charlottesville City,city,2025,16,10.50
Charlottesville City,city,2025,17,13.80
Charlottesville City,city,2025,18,16.10
Charlottesville City,city,2025,19,17.40
Charlottesville City,city,2025,20,18.10
Charlottesville City,city,2025,21,17.70
Charlottesville City,city,2025,22,16.50
Charlottesville City,city,2025,23,14.70
Chesapeake City,city,2025,0,124.90
Chesapeake City,city,2025,1,109.40
Chesapeake City,city,2025,2,95.60
Chesapeake City,city,2025,3,86.10
Chesapeake City,city,2025,4,78.00
Chesapeake City,city,2025,5,70.70
Chesapeake City,city,2025,6,62.50
Chesapeake City,city,2025,7,49.80
Chesapeake City,city,2025,8,41.70
Chesapeake City,city,2025,9,40.20
Chesapeake City,city,2025,10,43.40
Chesapeake City,city,2025,11,49.70
Chesapeake City,city,2025,12,57.40
Chesapeake City,city,2025,13,63.90
Chesapeake City,city,2025,14,71.60
Chesapeake City,city,2025,15,84.00
Chesapeake City,city,2025,16,104.70
Chesapeake City,city,2025,17,137.40
Chesapeake City,city,2025,18,161.40
Chesapeake City,city,2025,19,173.60
Chesapeake City,city,2025,20,181.10
Chesapeake City,city,2025,21,177.50
Chesapeake City,city,2025,22,165.00
Chesapeake City,city,2025,23,147.20
Chesterfield County,county,2025,0,76.10
Chesterfield County,county,2025,1,66.70
Chesterfield County,county,2025,2,58.20
Chesterfield County,county,2025,3,52.50
Chesterfield County,county,2025,4,47.50
Chesterfield County,county,2025,5,43.10
Chesterfield County,county,2025,6,38.10
Chesterfield County,county,2025,7,30.30
Chesterfield County,county,2025,8,25.50
Chesterfield County,county,2025,9,24.40
Chesterfield County,county,2025,10,26.50
Chesterfield County,county,2025,11,30.20
Chesterfield County,county,2025,12,35.00
Chesterfield County,county,2025,13,38.90
